date,temperature (Kelvin)
20070808220000,287.65
20070808230000,287.55
20070809000000,287.15
20070809010000,286.55
20070809020000,286.75
20070809030000,286.75
20070809040000,286.75
20070809050000,286.75
20070809060000,286.85
20070809070000,287.85
20070809080000,288.85
20070809090000,289.45
20070809100000,289.85
20070809110000,290.35
20070809120000,290.95
20070809130000,290.85
20070809140000,290.75
20070809150000,291.45
20070809160000,290.65
20070809170000,290.35
20070809180000,289.85
20070809190000,289.05
20070809200000,288.45
20070809210000,288.65
20070809220000,288.35
20070809230000,288.05
20070810000000,287.55
20070810010000,287.35
20070810020000,287.15
20070810030000,287.05
20070810040000,287.35
20070810050000,286.95
20070810060000,286.55
20070810070000,287.65
20070810080000,288.65
20070810090000,290.15
20070810100000,290.45
20070810110000,290.75
20070810120000,292.35
20070810130000,292.65
20070810140000,292.25
20070810150000,290.85
20070810160000,290.65
20070810170000,290.65
20070810180000,290.15
20070810190000,289.45
20070810200000,288.95
20070810210000,288.85
20070810220000,289.15
20070810230000,288.85
20070811000000,288.55
20070811010000,287.95
20070811020000,287.75
20070811030000,287.05
20070811040000,287.25
20070811050000,287.05
20070811060000,288.15
20070811070000,288.75
20070811080000,289.35
20070811090000,290.25
20070811100000,291.05
20070811110000,292.55
20070811120000,293.15
20070811130000,293.15
20070811140000,292.75
20070811150000,293.65
20070811160000,293.75
20070811170000,293.25
20070811180000,291.35
20070811190000,290.35
20070811200000,289.05
20070811210000,288.95
20070811220000,288.85
20070811230000,288.75
20070812000000,288.75
20070812010000,288.25
20070812020000,288.05
20070812030000,288.45
20070812040000,288.35
20070812050000,288.25
20070812060000,288.35
20070812070000,288.85
20070812080000,288.75
20070812090000,290.35
20070812100000,291.65
20070812110000,290.75
20070812120000,292.75
20070812130000,292.95
20070812140000,293.05
20070812150000,291.65
20070812160000,292.55
20070812170000,291.45
20070812180000,290.85
20070812190000,289.55
20070812200000,288.95
20070812210000,288.65
20070812220000,288.75
20070812230000,288.55
20070813000000,288.55
20070813010000,288.65
20070813020000,288.45
20070813030000,288.25
20070813040000,288.25
20070813050000,288.35
20070813060000,288.35
20070813070000,289.15
20070813080000,289.45
20070813090000,290.35
20070813100000,291.35
20070813110000,291.35
20070813120000,291.35
20070813130000,290.85
20070813140000,291.45
20070813150000,291.15
20070813160000,289.75
20070813170000,290.05
20070813180000,289.75
20070813190000,289.85
20070813200000,290.05
20070813210000,290.05
20070813220000,290.05
20070813230000,290.05
20070814000000,290.05
20070814010000,289.65
20070814020000,289.55
20070814030000,289.55
20070814040000,289.25
20070814050000,289.65
20070814060000,289.85
20070814070000,290.05
20070814080000,290.35
20070814090000,290.55
20070814100000,290.55
20070814110000,290.55
20070814120000,290.45
20070814130000,290.75
20070814140000,290.75
20070814150000,290.75
20070814160000,290.75
20070814170000,290.75
20070814180000,290.55
20070814190000,290.15
20070814200000,289.65
20070814210000,289.55
20070814220000,289.75
20070814230000,289.85
20070815000000,289.75
20070815010000,289.75
20070815020000,289.75
20070815030000,289.75
20070815040000,289.85
20070815050000,289.65
20070815060000,289.65
20070815070000,289.75
20070815080000,290.15
20070815090000,290.25
20070815100000,290.05
20070815110000,291.05
20070815120000,290.25
20070815130000,289.55
20070815140000,290.05
20070815150000,290.05
20070815160000,289.75
20070815170000,289.45
20070815180000,289.35
20070815190000,288.95
20070815200000,288.55
20070815210000,288.65
20070815220000,288.55
20070815230000,288.15
20070816000000,287.65
20070816010000,287.85
20070816020000,287.75
20070816030000,287.55
20070816040000,287.85
20070816050000,287.85
20070816060000,287.95
20070816070000,288.25
20070816080000,288.65
20070816090000,289.85
20070816100000,288.95
20070816110000,290.55
20070816120000,291.95
20070816130000,292.25
20070816140000,288.85
20070816150000,291.65
20070816160000,291.65
20070816170000,290.85
20070816180000,290.15
20070816190000,289.05
20070816200000,288.25
20070816210000,288.15
20070816220000,287.95
20070816230000,287.85
20070817000000,288.45
20070817010000,288.05
20070817020000,288.05
20070817030000,287.65
20070817040000,287.85
20070817050000,287.65
20070817060000,288.15
20070817070000,287.55
20070817080000,288.55
20070817090000,289.25
20070817100000,287.45
20070817110000,290.35
20070817120000,291.05
20070817130000,290.65
20070817140000,291.15
20070817150000,291.15
20070817160000,291.05
20070817170000,290.55
20070817180000,289.35
20070817190000,289.05
20070817200000,288.35
20070817210000,288.25
20070817220000,288.35
20070817230000,288.35
20070818000000,288.45
20070818010000,288.55
20070818020000,288.65
20070818030000,288.75
20070818040000,288.65
20070818050000,288.75
20070818060000,288.95
20070818070000,289.15
20070818080000,289.25
20070818090000,288.65
20070818100000,288.65
20070818110000,289.35
20070818120000,289.85
20070818130000,290.65
20070818140000,289.45
20070818150000,290.05
20070818160000,289.55
20070818170000,289.45
20070818180000,288.85
20070818190000,289.05
20070818200000,288.55
20070818210000,288.45
20070818220000,288.95
20070818230000,288.65
20070819000000,288.65
20070819010000,288.65
20070819020000,288.55
20070819030000,288.35
20070819040000,288.55
20070819050000,288.05
20070819060000,288.05
20070819070000,288.15
20070819080000,288.05
20070819090000,287.75
20070819100000,288.25
20070819110000,288.65
20070819120000,287.75
20070819130000,288.55
20070819140000,288.55
20070819150000,288.45
20070819160000,288.45
20070819170000,288.75
20070819180000,288.45
20070819190000,288.15
20070819200000,287.95
20070819210000,288.15
20070819220000,288.25
20070819230000,288.55
20070820000000,288.45
20070820010000,288.35
20070820020000,288.15
20070820030000,288.25
20070820040000,288.05
20070820050000,288.25
20070820060000,288.25
20070820070000,288.15
20070820080000,288.05
20070820090000,288.25
20070820100000,288.85
20070820110000,289.05
20070820120000,289.05
20070820130000,289.45
20070820140000,289.45
20070820150000,289.65
20070820160000,288.45
20070820170000,288.65
20070820180000,287.65
20070820190000,287.05
20070820200000,287.85
20070820210000,287.55
20070820220000,287.95
20070820230000,287.85
20070821000000,287.85
20070821010000,287.65
20070821020000,287.35
20070821030000,287.25
20070821040000,287.15
20070821050000,287.05
20070821060000,287.05
20070821070000,287.55
20070821080000,287.45
20070821090000,288.45
20070821100000,288.75
20070821110000,288.45
20070821120000,288.85
20070821130000,288.25
20070821140000,288.45
20070821150000,288.95
20070821160000,288.15
20070821170000,288.85
20070821180000,288.45
20070821190000,288.55
20070821200000,288.15
20070821210000,288.05
20070821220000,288.25
20070821230000,288.15
20070822000000,287.95
20070822010000,287.85
20070822020000,287.95
20070822030000,287.95
20070822040000,287.95
20070822050000,287.85
20070822060000,288.15
20070822070000,288.45
20070822080000,288.35
20070822090000,289.45
20070822100000,289.85
20070822110000,289.95
20070822120000,289.85
20070822130000,289.75
20070822140000,290.05
20070822150000,290.45
20070822160000,289.85
20070822170000,289.75
20070822180000,289.35
20070822190000,288.75
20070822200000,288.55
20070822210000,288.35
20070822220000,288.25
20070822230000,288.15
20070823000000,288.05
20070823010000,288.05
20070823020000,288.05
20070823030000,288.25
20070823040000,288.25
20070823050000,288.45
20070823060000,288.55
20070823070000,288.75
20070823080000,288.75
20070823090000,289.35
20070823100000,289.85
20070823110000,290.25
20070823120000,290.55
20070823130000,290.95
20070823140000,290.15
20070823150000,290.05
20070823160000,290.25
20070823170000,289.85
20070823180000,289.45
20070823190000,288.95
20070823200000,288.85
20070823210000,288.55
20070823220000,288.45
20070823230000,288.55
20070824000000,288.35
20070824010000,288.25
20070824020000,288.05
20070824030000,287.95
20070824040000,288.15
20070824050000,288.15
20070824060000,288.25
20070824070000,288.55
20070824080000,288.85
20070824090000,290.45
20070824100000,290.15
20070824110000,290.45
20070824120000,291.45
20070824130000,291.75
20070824140000,291.55
20070824150000,291.65
20070824160000,292.05
20070824170000,291.05
20070824180000,290.75
20070824190000,290.35
20070824200000,289.95
20070824210000,289.75
20070824220000,289.55
20070824230000,289.25
20070825000000,289.15
20070825010000,288.55
20070825020000,288.25
20070825030000,288.35
20070825040000,288.45
20070825050000,288.35
20070825060000,288.55
20070825070000,289.05
20070825080000,289.65
20070825090000,290.65
20070825100000,291.75
20070825110000,292.45
20070825120000,292.05
20070825130000,291.45
20070825140000,291.25
20070825150000,292.65
20070825160000,293.15
20070825170000,292.65
20070825180000,291.65
20070825190000,290.55
20070825200000,291.15
20070825210000,291.35
20070825220000,291.05
20070825230000,290.75
20070826000000,289.75
20070826010000,289.45
20070826020000,289.25
20070826030000,288.95
20070826040000,288.75
20070826050000,288.75
20070826060000,288.65
20070826070000,288.85
20070826080000,289.95
20070826090000,290.75
20070826100000,291.85
20070826110000,292.35
20070826120000,293.75
20070826130000,295.05
20070826140000,294.45
20070826150000,294.25
20070826160000,292.85
20070826170000,292.85
20070826180000,292.15
20070826190000,292.15
20070826200000,291.35
20070826210000,290.55
20070826220000,290.05
20070826230000,289.85
20070827000000,289.45
20070827010000,289.45
20070827020000,289.35
20070827030000,288.95
20070827040000,288.85
20070827050000,288.95
20070827060000,288.85
20070827070000,288.95
20070827080000,289.35
20070827090000,290.35
20070827100000,291.05
20070827110000,291.75
20070827120000,292.55
20070827130000,293.55
20070827140000,294.45
20070827150000,293.75
20070827160000,292.45
20070827170000,292.35
20070827180000,291.55
20070827190000,290.85
20070827200000,290.25
20070827210000,289.45
20070827220000,289.05
20070827230000,288.75
20070828000000,288.45
20070828010000,288.35
20070828020000,287.85
20070828030000,287.75
20070828040000,287.65
20070828050000,287.45
20070828060000,287.35
20070828070000,287.55
20070828080000,288.25
20070828090000,289.35
20070828100000,290.25
20070828110000,291.05
20070828120000,291.75
20070828130000,292.25
20070828140000,292.35
20070828150000,292.35
20070828160000,291.25
20070828170000,290.65
20070828180000,289.85
20070828190000,289.25
20070828200000,288.85
20070828210000,288.75
20070828220000,288.55
20070828230000,288.65
20070829000000,288.45
20070829010000,288.45
20070829020000,288.05
20070829030000,287.85
20070829040000,287.65
20070829050000,287.75
20070829060000,287.85
20070829070000,288.15
20070829080000,288.65
20070829090000,289.85
20070829100000,290.65
20070829110000,290.95
20070829120000,290.95
20070829130000,290.95
20070829140000,290.85
20070829150000,290.65
20070829160000,290.35
20070829170000,289.85
20070829180000,289.35
20070829190000,288.45
20070829200000,288.05
20070829210000,287.65
20070829220000,287.55
20070829230000,287.65
20070830000000,287.45
20070830010000,287.45
20070830020000,287.25
20070830030000,287.05
20070830040000,287.05
20070830050000,286.95
20070830060000,287.05
20070830070000,287.45
20070830080000,287.85
20070830090000,288.95
20070830100000,289.55
20070830110000,290.15
20070830120000,290.35
20070830130000,289.95
20070830140000,290.15
20070830150000,289.75
20070830160000,289.75
20070830170000,288.85
20070830180000,288.65
20070830190000,288.05
20070830200000,287.95
20070830210000,287.95
20070830220000,287.85
20070830230000,287.95
20070831000000,287.85
20070831010000,287.95
20070831020000,287.75
20070831030000,287.65
20070831040000,287.65
20070831050000,287.35
20070831060000,287.35
20070831070000,287.55
20070831080000,288.25
20070831090000,288.45
20070831100000,289.05
20070831110000,290.15
20070831120000,289.65
20070831130000,289.35
20070831140000,290.15
20070831150000,288.75
20070831160000,288.35
20070831170000,288.25
20070831180000,288.25
20070831190000,288.25
20070831200000,288.05
20070831210000,287.95
20070831220000,287.45
20070831230000,287.45
20070901000000,287.35
20070901010000,286.95
20070901020000,286.95
20070901030000,286.85
20070901040000,286.95
20070901050000,287.05
20070901060000,287.05
20070901070000,287.15
20070901080000,288.15
20070901090000,288.65
20070901100000,289.85
20070901110000,290.05
20070901120000,291.35
20070901130000,291.85
20070901140000,290.45
20070901150000,289.65
20070901160000,289.75
20070901170000,289.45
20070901180000,288.85
20070901190000,288.15
20070901200000,287.95
20070901210000,287.65
20070901220000,288.25
20070901230000,288.15
20070902000000,288.25
20070902010000,288.05
20070902020000,287.95
20070902030000,287.85
20070902040000,287.95
20070902050000,287.85
20070902060000,287.75
20070902070000,287.95
20070902080000,288.25
20070902090000,289.15
20070902100000,289.05
20070902110000,289.95
20070902120000,290.45
20070902130000,291.65
20070902140000,291.45
20070902150000,291.05
20070902160000,290.95
20070902170000,289.65
20070902180000,289.35
20070902190000,288.45
20070902200000,288.35
20070902210000,288.55
20070902220000,288.65
20070902230000,288.65
20070903000000,288.95
20070903010000,289.05
20070903020000,288.85
20070903030000,288.55
20070903040000,288.45
20070903050000,288.25
20070903060000,288.15
20070903070000,288.35
20070903080000,288.35
20070903090000,288.45
20070903100000,288.45
20070903110000,288.95
20070903120000,289.85
20070903130000,289.95
20070903140000,290.15
20070903150000,289.95
20070903160000,289.35
20070903170000,288.85
20070903180000,288.35
20070903190000,287.85
20070903200000,287.65
20070903210000,287.45
20070903220000,287.45
20070903230000,287.45
20070904000000,287.25
20070904010000,286.95
20070904020000,287.15
20070904030000,286.85
20070904040000,286.55
20070904050000,286.85
20070904060000,286.85
20070904070000,287.25
20070904080000,287.65
20070904090000,289.55
20070904100000,289.75
20070904110000,290.45
20070904120000,290.85
20070904130000,290.65
20070904140000,290.25
20070904150000,290.95
20070904160000,290.55
20070904170000,289.55
20070904180000,288.95
20070904190000,288.45
20070904200000,287.75
20070904210000,287.45
20070904220000,287.25
20070904230000,286.85
20070905000000,286.35
20070905010000,286.55
20070905020000,286.55
20070905030000,286.25
20070905040000,285.85
20070905050000,285.25
20070905060000,284.65
20070905070000,285.25
20070905080000,286.95
20070905090000,289.45
20070905100000,289.25
20070905110000,290.75
20070905120000,291.15
20070905130000,291.75
20070905140000,293.05
20070905150000,291.25
20070905160000,289.95
20070905170000,289.55
20070905180000,289.65
20070905190000,289.15
20070905200000,289.05
20070905210000,288.35
20070905220000,288.15
20070905230000,288.15
20070906000000,287.65
20070906010000,287.75
20070906020000,287.75
20070906030000,287.95
20070906040000,287.75
20070906050000,287.55
20070906060000,287.95
20070906070000,287.95
20070906080000,288.55
20070906090000,290.15
20070906100000,291.55
20070906110000,290.65
20070906120000,291.05
20070906130000,290.55
20070906140000,291.25
20070906150000,291.55
20070906160000,292.25
20070906170000,291.55
20070906180000,291.35
20070906190000,291.35
20070906200000,291.35
20070906210000,290.55
20070906220000,290.15
20070906230000,289.85
20070907000000,289.55
20070907010000,289.15
20070907020000,289.55
20070907030000,288.85
20070907040000,288.95
20070907050000,288.75
20070907060000,288.45
20070907070000,288.95
20070907080000,289.85
20070907090000,289.95
20070907100000,292.35
20070907110000,293.35
20070907120000,293.45
20070907130000,292.55
20070907140000,293.95
20070907150000,294.35
20070907160000,292.75
20070907170000,293.25
20070907180000,291.85
20070907190000,292.15
20070907200000,291.45
20070907210000,290.85
20070907220000,290.25
20070907230000,289.65
20070908000000,289.35
20070908010000,289.05
20070908020000,289.15
20070908030000,289.05
20070908040000,288.25
20070908050000,288.35
20070908060000,288.15
20070908070000,288.65
20070908080000,289.35
20070908090000,290.25
20070908100000,291.25
20070908110000,292.05
20070908120000,292.35
20070908130000,291.95
20070908140000,292.95
20070908150000,291.85
20070908160000,291.95
20070908170000,291.85
20070908180000,291.25
20070908190000,290.45
20070908200000,289.45
20070908210000,289.15
20070908220000,288.75
20070908230000,288.45
20070909000000,288.35
20070909010000,288.05
20070909020000,287.85
20070909030000,287.65
20070909040000,287.45
20070909050000,287.15
20070909060000,287.15
20070909070000,287.55
20070909080000,288.25
20070909090000,289.85
20070909100000,291.05
20070909110000,291.95
20070909120000,291.25
20070909130000,291.15
20070909140000,291.15
20070909150000,291.05
20070909160000,290.45
20070909170000,290.15
20070909180000,289.35
20070909190000,288.85
20070909200000,288.55
20070909210000,288.15
20070909220000,288.15
20070909230000,287.85
20070910000000,287.55
20070910010000,287.25
20070910020000,287.25
20070910030000,287.05
20070910040000,287.15
20070910050000,287.25
20070910060000,287.25
20070910070000,287.65
20070910080000,288.45
20070910090000,288.75
20070910100000,289.05
20070910110000,289.95
20070910120000,290.05
20070910130000,290.65
20070910140000,289.95
20070910150000,289.55
20070910160000,289.45
20070910170000,288.85
20070910180000,288.35
20070910190000,288.15
20070910200000,288.25
20070910210000,287.95
20070910220000,287.95
20070910230000,287.95
20070911000000,287.95
20070911010000,287.85
20070911020000,287.65
20070911030000,287.45
20070911040000,287.35
20070911050000,287.25
20070911060000,287.05
20070911070000,287.35
20070911090000,288.95
20070911100000,289.85
20070911110000,290.25
20070911120000,290.55
20070911130000,290.55
20070911140000,290.65
20070911150000,290.55
20070911160000,289.65
20070911170000,289.45
20070911180000,288.65
20070911190000,288.45
20070911200000,288.05
20070911210000,287.85
20070911220000,287.95
20070911230000,287.65
20070912000000,287.45
20070912010000,287.55
20070912020000,287.65
20070912030000,286.75
20070912040000,286.25
20070912050000,286.05
20070912060000,285.85
20070912070000,286.15
20070912080000,286.95
20070912090000,287.95
20070912100000,289.65
20070912110000,289.85
20070912120000,290.65
20070912130000,291.85
20070912140000,291.35
20070912150000,291.35
20070912160000,291.45
20070912170000,291.25
20070912180000,290.95
20070912190000,289.25
20070912200000,288.75
20070912210000,288.15
20070912220000,287.65
20070912230000,287.55
20070913000000,287.55
20070913010000,287.15
20070913020000,286.85
20070913030000,286.55
20070913040000,286.35
20070913050000,286.45
20070913060000,286.25
20070913070000,286.25
20070913080000,287.55
20070913090000,288.45
20070913100000,289.55
20070913110000,290.05
20070913120000,290.95
20070913130000,290.85
20070913140000,291.55
20070913150000,290.85
20070913160000,290.25
20070913170000,290.05
20070913180000,289.85
20070913190000,288.45
20070913200000,288.15
20070913210000,287.95
20070913220000,287.55
20070913230000,287.15
20070914000000,287.15
20070914010000,287.05
20070914020000,286.45
20070914030000,286.55
20070914040000,286.45
20070914050000,286.75
20070914060000,286.55
20070914070000,286.85
20070914080000,286.55
20070914090000,286.65
20070914100000,287.15
20070914110000,287.85
20070914120000,289.65
20070914130000,290.65
20070914140000,291.15
20070914150000,291.05
20070914160000,290.05
20070914170000,289.65
20070914180000,288.85
20070914190000,288.05
20070914200000,287.95
20070914210000,287.85
20070914220000,287.85
20070914230000,287.85
20070915000000,287.85
20070915010000,287.75
20070915020000,288.15
20070915030000,288.45
20070915040000,288.55
20070915050000,288.65
20070915060000,288.55
20070915070000,288.65
20070915080000,288.95
20070915090000,289.15
20070915100000,289.55
20070915110000,290.35
20070915120000,290.95
20070915130000,291.05
20070915140000,291.95
20070915150000,290.95
20070915160000,289.85
20070915170000,288.85
20070915180000,288.45
20070915190000,288.05
20070915200000,288.05
20070915210000,288.15
20070918110000,287.05
20070918120000,287.55
20070918130000,287.45
20070918140000,287.45
20070918150000,287.15
20070918160000,286.85
20070918170000,285.95
20070918180000,285.35
20070918190000,285.05
20070918200000,284.85
20070918210000,284.65
20070918220000,284.45
20070918230000,284.45
20070919000000,284.35
20070919010000,284.55
20070919020000,284.75
20070919030000,284.45
20070919040000,284.55
20070919050000,284.95
20070919060000,285.25
20070919070000,285.65
20070919080000,286.45
20070919090000,287.25
20070919100000,289.05
20070919110000,289.55
20070919120000,289.85
20070919130000,290.05
20070919140000,290.05
20070919150000,289.85
20070919160000,289.35
20070919170000,288.65
20070919180000,287.45
20070919190000,287.15
20070919200000,287.05
20070919210000,287.05
20070919220000,287.05
20070919230000,287.15
20070920000000,287.05
20070920010000,287.25
20070920020000,287.45
20070920030000,287.55
20070920040000,287.55
20070920050000,287.55
20070920060000,287.55
20070920070000,287.75
20070920080000,288.05
20070920090000,288.35
20070920100000,288.65
20070920110000,289.35
20070920120000,289.45
20070920130000,290.85
20070920140000,290.45
20070920150000,288.85
20070920160000,288.45
20070920170000,288.65
20070920180000,288.35
20070920190000,287.65
20070920200000,287.45
20070920210000,287.35
20070920220000,287.35
20070920230000,287.25
20070921000000,287.35
20070921010000,287.15
20070921020000,287.15
20070921030000,287.35
20070921040000,287.25
20070921050000,287.25
20070921060000,287.15
20070921070000,287.25
20070921080000,287.65
20070921090000,289.25
20070921100000,290.05
20070921110000,290.65
20070921120000,290.75
20070921130000,290.45
20070921140000,290.75
20070921150000,290.75
20070921160000,289.85
20070921170000,289.15
20070921180000,288.25
20070921190000,288.15
20070921200000,288.15
20070921210000,288.05
20070921220000,288.25
20070921230000,288.35
20070922000000,288.35
20070922010000,288.25
20070922020000,287.85
20070922030000,287.25
20070922040000,287.65
20070922050000,287.65
20070922060000,287.75
20070922070000,287.65
20070922080000,288.25
20070922090000,289.95
20070922100000,290.45
20070922110000,290.85
20070922120000,290.85
20070922130000,290.85
20070922140000,291.25
20070922150000,291.45
20070922160000,290.85
20070922170000,290.55
20070922180000,289.55
20070922190000,289.35
20070922200000,288.95
